UserId,TweetId,Tweet,ADR_label
10030778,413205,Intravenous azithromycin-induced ototoxicity.,1
10048291,528244,"Immobilization, while Paget's bone disease was present, and perhaps enhanced activation of dihydrotachysterol by rifampicin, could have led to increased calcium-release into the circulation.",1
10048291,361834,Unaccountable severe hypercalcemia in a patient treated for hypoparathyroidism with dihydrotachysterol.,1
10082597,292240,METHODS: We report two cases of pseudoporphyria caused by naproxen and oxaprozin.,1
10082597,467101,METHODS: We report two cases of pseudoporphyria caused by naproxen and oxaprozin.,1
10082597,599105,"Naproxen, the most common offender, has been associated with a dimorphic clinical pattern: a PCT-like presentation and one simulating erythropoietic protoporphyria in the pediatric population.",1
10082597,259287,RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,1
10082597,479710,RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,1
10082597,141130,RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,1
10082597,787933,RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,1
10084639,938859,BACKGROUND: How to best treat psychotic patients who have had past clozapine-induced agranulocytosis or granulocytopenia remains a problem.,1
10084639,70118,CONCLUSION: The results suggest that olanzapine may be useful in treating patients with clozapine-induced granulocytopenia without the risk of recurrence of hematologic side effects.,1
10099659,312663,Prolonged severe 5-fluorouracil-associated neurotoxicity in a patient with dihydropyrimidine dehydrogenase deficiency.,1
10099659,689114,"We describe the side effects of 5-FU in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit.",1
10099659,967494,"We describe the side effects of 5-FU in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit.",1
10099659,166825,"We describe the side effects of 5-FU in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit.",1
10102531,105676,"This case suggests that BH-AC, a derivative of cytosine arabinoside (1-beta-D-arabinofuranosylcytosine) could be a cause of reversible encephalopathy syndrome.",1
10102531,919102,"We report a case of reversible encephalopathy syndrome in a 16-year-old girl with acute myelogenous leukemia (AML), who is undergoing during consolidation chemotherapy composed of BH-AC (N4-behenoyl-1-beta-D-arabinofuranosyl cytosine) and idarubicin.",1
10102531,56276,"We report a case of reversible encephalopathy syndrome in a 16-year-old girl with acute myelogenous leukemia (AML), who is undergoing during consolidation chemotherapy composed of BH-AC (N4-behenoyl-1-beta-D-arabinofuranosyl cytosine) and idarubicin.",1
10190739,256366,"In one case, the readministration of riluzole was followed by the relapse of hepatitis.",1
10190739,909316,"We report the cases of two patients who developed acute hepatitis after taking riluzole at the recommended dose (100 mg daily) for 7 and 4 weeks, respectively.",1
10203437,925236,Lupus-like syndrome caused by 5-aminosalicylic acid in patients with inflammatory bowel disease.,1
10225085,114521,"Although the two local anesthetics usually do not cause methemoglobinemia, we suspect that the displacement of lidocaine from protein binding by bupivacaine, in combination with metabolic acidosis and treatment with other oxidants, was the reason for the development of methemoglobinemia.",1
10225085,500892,Methemoglobinemia after axillary block with bupivacaine and additional injection of lidocaine in the operative field.,1
10225085,696671,Methemoglobinemia after axillary block with bupivacaine and additional injection of lidocaine in the operative field.,1
10225085,415757,We report a patient with chronic renal failure and ischemic heart disease who developed clinically significant methemoglobinemia after an axillary block with bupivacaine and additional injection of lidocaine in the operative field.,1
10225085,189631,We report a patient with chronic renal failure and ischemic heart disease who developed clinically significant methemoglobinemia after an axillary block with bupivacaine and additional injection of lidocaine in the operative field.,1
10229976,326452,Detection of activated eosinophils in nasal polyps of an aspirin-induced asthma patient.,1
10327035,814286,An episode of subacute encephalopathy after the infusion of a moderate dose of methotrexate (1500 mg/m2) (MTX) is reported in a young adult with metastastic gastric cancer.,1
10327035,991608,"We believe that this represents an unusual case of moderate-dose MTX-induced neurotoxicity in a patient with gastric cancer, which has not previously been reported.",1
10332990,500065,We describe a life threatening side effect of acute epoprostenol infusion (pulmonary edema) in a patient with pulmonary hypertension associated with limited scleroderma and discuss its management and potential etiology.,1
10337682,860731,A 14-year-old girl with newly diagnosed SLE developed a pruritic bullous eruption while on prednisone.,1
10348150,971042,Hydroxyurea-induced acute interstitial pneumonitis in a patient with essential thrombocythemia.,1
10348150,985565,The clinical course suggests that the interstitial pneumonitis was induced by hydroxyurea.,1
10348150,231357,This is the first case of hydroxyurea-induced acute interstitial pneumonitis reported in the literature.,1
10357715,86331,Allergic and irritant contact dermatitis to calcipotriol.,1
10357715,942497,"Calcipotriol (Daivonex R; Leo Pharmaceuticals, Zurich, Switzerland) may cause irritation of the skin, whereas allergic reactions are less common.",1
10357715,612465,"Calcipotriol (Daivonex R; Leo Pharmaceuticals, Zurich, Switzerland) may cause irritation of the skin, whereas allergic reactions are less common.",1
10357715,625814,"The present observation suggests, that a batch of different testing doses, including lower testing doses may help to differentiate between an allergic type of contact dermatitis and an irritant type of reaction after treatment with calcipotriol.",1
10367184,734102,Myotonia associated with sarcoidosis: marked exacerbation with pravastatin.,1
10367184,849872,Pravastatin is associated with myotonia in animals.,1
10367184,738673,"This case suggests that sarcoidosis and pravastatin, two entities not frequently associated with myotonia, may interact in a synergistic manner to produce severe clinical myotonia in humans.",1
10393393,312946,"Hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction.",1
10393393,638233,"Hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction.",1
10393393,757236,"Hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction.",1
10395123,569000,CONCLUSION: Fixed drug eruption is associated with many drugs but this is the first such report with omeprazole.,1
10395123,610638,Fixed drug eruption in hands caused by omeprazole.,1
10395123,452161,The objective of this report is to describe a case of fixed drug eruption that occurred during omeprazole treatment.,1
10405480,571830,"A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.",1
10405480,42877,"A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.",1
10405480,55596,"A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.",1
10405480,699959,"A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.",1
10405480,927636,Acute generalized exanthematous pustulosis induced by salazosulfapyridine in a patient with ulcerative colitis.,1
10405480,107028,We report a case of acute generalized exanthematous pustulosis (AGEP) induced by salazosulfapyridine in a patient with ulcerative colitis.,1
10410183,236459,CASE SUMMARY: A 39-year-old white Jewish schizophrenic man treated with olanzapine developed an elevated serum CK concentration with a peak concentration of 4000 IU/L (normal < 230).,1
10410183,156462,"DISCUSSION: Olanzapine, like other atypical antipsychotic drugs, may cause muscle injury with concomitant elevations of serum CK of muscle origin.",1
10410183,339151,Marked elevation of serum creatine kinase associated with olanzapine therapy.,1
10410183,91190,OBJECTIVE: To report a case of marked elevation of serum creatine kinase (CK) associated with olanzapine therapy.,1
10414481,769616,Diclofenac-associated hepatitis.,1
10414481,159330,"This patient, who had a history of osteoarthritis, had severe hepatitis 5 weeks after being started on diclofenac for increasing pain in the joints.",1
10426918,856616,"2-CdA induces lymphocytopenia, which may explain the improvement in this patient's psoriasis.",1
10431414,266993,One case of priapism occurred during heparin therapy for a previous surgical operation to the knee is reported.,1
10431414,694802,Priapism as a complication of heparin therapy.,1
10431414,316182,The association between heparin and priapism is often recognized; abnormal platelet aggregation could play a role in the pathogenesis of this side effect.,1
10431414,702728,The association between heparin and priapism is often recognized; abnormal platelet aggregation could play a role in the pathogenesis of this side effect.,1
10435399,51132,"It carries a well-known risk of neutropenia and agranulocytosis, which necessitates the immediate discontinuation of clozapine.",1
10435399,100941,"It carries a well-known risk of neutropenia and agranulocytosis, which necessitates the immediate discontinuation of clozapine.",1
10435399,825890,"OBJECTIVE: We report a patient who developed neutropenia on clozapine, but behind the cell count decrease showed to be a diurnal variation of the white blood cells (WBC).",1
10439378,151701,Acute neutrophilic dermatosis induced by all-trans-retinoic acid treatment for acute promyelocytic leukemia.,1
10442258,628366,Findings on discontinuation and rechallenge supported the assumption that the hair loss was a side effect of the paroxetine.,1
10442258,658362,Hair loss associated with paroxetine treatment: a case report.,1
10442258,188888,We report on a 37-year-old female who complained of moderate hair loss during paroxetine treatment.,1
10452772,159279,"CONCLUSION: Patients with insulin allergy may not have complete resolution of their symptoms after standard desensitization, particularly those patients with concomitant protamine allergy.",1
10452772,849417,"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",1
10452772,266958,"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",1
